# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
3

# DegenGeom Type, Name, SurfNdx, MainSurfNdx, SymCopyNdx, GeomID, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,wing,0,0,0,YJWWQYCGDI,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 1.638000000000000123e+00, 0.000000000000000000e+00, 7.000000000000000666e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,40,41
# x,y,z,u,w
1.726923772185251504e+00, 0.000000000000000000e+00, 6.607451150317671384e-01, 1.000000000000000000e+00, 1.859352219759838221e+00
1.688873071491375111e+00, 0.000000000000000000e+00, 6.662722058029514338e-01, 1.000000000000000000e+00, 1.913329802836507776e+00
1.662596345844981505e+00, 0.000000000000000000e+00, 6.747869623344622259e-01, 1.000000000000000000e+00, 1.951387639801561935e+00
1.646123374433527520e+00, 0.000000000000000000e+00, 6.874577722180796879e-01, 1.000000000000000000e+00, 1.977824672561475872e+00
1.638000000000000123e+00, 0.000000000000000000e+00, 7.000000000000000666e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
1.636486113762211314e+00, 0.000000000000000000e+00, 7.151986933523574175e-01, 1.000000000000000000e+00, 2.022175327438524128e+00
1.643326388235723412e+00, 0.000000000000000000e+00, 7.410726616752226770e-01, 1.000000000000000000e+00, 2.048612360198438065e+00
1.660567130672510050e+00, 0.000000000000000000e+00, 7.719781177703844977e-01, 1.000000000000000000e+00, 2.086670197163492446e+00
1.692109074633917132e+00, 0.000000000000000000e+00, 8.033302685136964882e-01, 1.000000000000000000e+00, 2.140647780240161779e+00
1.739986497421284195e+00, 0.000000000000000000e+00, 8.388832436710794704e-01, 1.000000000000000000e+00, 2.215610592109568344e+00
1.809155036756567858e+00, 0.000000000000000000e+00, 8.745897618760249959e-01, 1.000000000000000000e+00, 2.316731380037586163e+00
1.903600011056571173e+00, 0.000000000000000000e+00, 9.025730697709321015e-01, 1.000000000000000000e+00, 2.447912817083061299e+00
2.022541054438089070e+00, 0.000000000000000000e+00, 9.201484205941905525e-01, 1.000000000000000000e+00, 2.609729865332790055e+00
2.161477905124482568e+00, 0.000000000000000000e+00, 9.230767090198175318e-01, 1.000000000000000000e+00, 2.797376719942451295e+00
2.311537121233857128e+00, 0.000000000000000000e+00, 9.140230306572281194e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
2.460896241787910110e+00, 0.000000000000000000e+00, 8.920249470256222946e-01, 1.000000000000000000e+00, 3.202623280057548705e+00
2.598421173438924647e+00, 0.000000000000000000e+00, 8.632924738240541629e-01, 1.000000000000000000e+00, 3.390270134667209945e+00
2.716384957848399839e+00, 0.000000000000000000e+00, 8.335985108899217622e-01, 1.000000000000000000e+00, 3.552087182916938701e+00
2.811729818017376203e+00, 0.000000000000000000e+00, 8.075567113465924596e-01, 1.000000000000000000e+00, 3.683268619962413837e+00
2.885055879235041143e+00, 0.000000000000000000e+00, 7.864091581850158885e-01, 1.000000000000000000e+00, 3.784389407890431656e+00
2.939289685862704005e+00, 0.000000000000000000e+00, 7.699872519627305456e-01, 1.000000000000000000e+00, 3.859352219759838221e+00
2.978209788093733934e+00, 0.000000000000000000e+00, 7.574437872404874428e-01, 1.000000000000000000e+00, 3.913329802836507554e+00
3.005555642133069583e+00, 0.000000000000000000e+00, 7.480937159963660932e-01, 1.000000000000000000e+00, 3.951387639801561935e+00
3.024509532685908386e+00, 0.000000000000000000e+00, 7.413741535353012280e-01, 1.000000000000000000e+00, 3.977824672561475872e+00
3.037520254965780264e+00, 0.000000000000000000e+00, 7.366477276310224864e-01, 1.000000000000000000e+00, 4.000000000000000000e+00
3.037520254965780264e+00, 1.133397194238358052e-01, 7.396156326345287857e-01, 1.071428571428571397e+00, 0.000000000000000000e+00
3.024727974074376213e+00, 1.133397194238358052e-01, 7.379795831961638575e-01, 1.071428571428571397e+00, 2.217532743852416652e-02
3.006106839328849922e+00, 1.133397194238358052e-01, 7.358712423276895231e-01, 1.071428571428571397e+00, 4.861236019843818978e-02
2.979271268922613736e+00, 1.133397194238358052e-01, 7.334009375903575156e-01, 1.071428571428571397e+00, 8.667019716349225189e-02
2.941139716269010940e+00, 1.133397194238358052e-01, 7.312686614822634379e-01, 1.071428571428571397e+00, 1.406477802401618626e-01
2.888115730564175809e+00, 1.133397194238358052e-01, 7.295820173028170208e-01, 1.071428571428571397e+00, 2.156105921095681499e-01
2.816639939797717318e+00, 1.133397194238358052e-01, 7.260980978073660053e-01, 1.071428571428571397e+00, 3.167313800375860522e-01
2.723921336415747518e+00, 1.133397194238358052e-01, 7.214284217004913735e-01, 1.071428571428571397e+00, 4.479128170830611877e-01
2.609550522595642796e+00, 1.133397194238358052e-01, 7.156730968254951808e-01, 1.071428571428571397e+00, 6.097298653327898332e-01
2.476996553486746855e+00, 1.133397194238358052e-01, 7.073404959192586272e-01, 1.071428571428571397e+00, 7.973767199424517393e-01
2.333956946628245266e+00, 1.133397194238358052e-01, 6.965413955963621895e-01, 1.071428571428571397e+00, 1.000000000000000000e+00
2.190955281844236602e+00, 1.133397194238358052e-01, 6.850778263925925149e-01, 1.071428571428571397e+00, 1.202623280057548483e+00
2.058498665288678087e+00, 1.133397194238358052e-01, 6.748894804640073186e-01, 1.071428571428571397e+00, 1.390270134667210167e+00
1.944189847897963341e+00, 1.133397194238358052e-01, 6.677307470581704818e-01, 1.071428571428571397e+00, 1.552087182916938923e+00
1.851521668706334944e+00, 1.133397194238358052e-01, 6.619169382825009773e-01, 1.071428571428571397e+00, 1.683268619962413837e+00
1.779970905029919059e+00, 1.133397194238358052e-01, 6.610592744375817231e-01, 1.071428571428571397e+00, 1.784389407890431656e+00
1.726923772185251504e+00, 1.133397194238358052e-01, 6.637130200352734377e-01, 1.071428571428571397e+00, 1.859352219759838221e+00
1.688873071491375111e+00, 1.133397194238358052e-01, 6.692401108064576221e-01, 1.071428571428571397e+00, 1.913329802836507776e+00
1.662596345844981505e+00, 1.133397194238358052e-01, 6.777548673379685251e-01, 1.071428571428571397e+00, 1.951387639801561935e+00
1.646123374433527520e+00, 1.133397194238358052e-01, 6.904256772215858762e-01, 1.071428571428571397e+00, 1.977824672561475872e+00
1.638000000000000123e+00, 1.133397194238358052e-01, 7.029679050035063659e-01, 1.071428571428571397e+00, 2.000000000000000000e+00
1.636486113762211314e+00, 1.133397194238358052e-01, 7.181665983558636057e-01, 1.071428571428571397e+00, 2.022175327438524128e+00
1.643326388235723412e+00, 1.133397194238358052e-01, 7.440405666787288652e-01, 1.071428571428571397e+00, 2.048612360198438065e+00
1.660567130672510050e+00, 1.133397194238358052e-01, 7.749460227738907969e-01, 1.071428571428571397e+00, 2.086670197163492446e+00
1.692109074633917132e+00, 1.133397194238358052e-01, 8.062981735172027875e-01, 1.071428571428571397e+00, 2.140647780240161779e+00
1.739986497421284195e+00, 1.133397194238358052e-01, 8.418511486745856587e-01, 1.071428571428571397e+00, 2.215610592109568344e+00
1.809155036756567858e+00, 1.133397194238358052e-01, 8.775576668795311841e-01, 1.071428571428571397e+00, 2.316731380037586163e+00
1.903600011056571173e+00, 1.133397194238358052e-01, 9.055409747744382898e-01, 1.071428571428571397e+00, 2.447912817083061299e+00
2.022541054438089070e+00, 1.133397194238358052e-01, 9.231163255976967408e-01, 1.071428571428571397e+00, 2.609729865332790055e+00
2.161477905124482568e+00, 1.133397194238358052e-01, 9.260446140233238310e-01, 1.071428571428571397e+00, 2.797376719942451295e+00
2.311537121233857128e+00, 1.133397194238358052e-01, 9.169909356607343076e-01, 1.071428571428571397e+00, 3.000000000000000000e+00
2.460896241787910110e+00, 1.133397194238358052e-01, 8.949928520291284828e-01, 1.071428571428571397e+00, 3.202623280057548705e+00
2.598421173438924647e+00, 1.133397194238358052e-01, 8.662603788275604622e-01, 1.071428571428571397e+00, 3.390270134667209945e+00
2.716384957848399839e+00, 1.133397194238358052e-01, 8.365664158934279504e-01, 1.071428571428571397e+00, 3.552087182916938701e+00
2.811729818017376203e+00, 1.133397194238358052e-01, 8.105246163500986478e-01, 1.071428571428571397e+00, 3.683268619962413837e+00
2.885055879235041143e+00, 1.133397194238358052e-01, 7.893770631885221878e-01, 1.071428571428571397e+00, 3.784389407890431656e+00
2.939289685862704005e+00, 1.133397194238358052e-01, 7.729551569662368449e-01, 1.071428571428571397e+00, 3.859352219759838221e+00
2.978209788093733934e+00, 1.133397194238358052e-01, 7.604116922439936310e-01, 1.071428571428571397e+00, 3.913329802836507554e+00
3.005555642133069583e+00, 1.133397194238358052e-01, 7.510616209998722814e-01, 1.071428571428571397e+00, 3.951387639801561935e+00
3.024509532685908386e+00, 1.133397194238358052e-01, 7.443420585388075272e-01, 1.071428571428571397e+00, 3.977824672561475872e+00
3.037520254965780264e+00, 1.133397194238358052e-01, 7.396156326345287857e-01, 1.071428571428571397e+00, 4.000000000000000000e+00
3.037520254965780264e+00, 2.266794388476716104e-01, 7.425835376380348629e-01, 1.142857142857142794e+00, 0.000000000000000000e+00
3.024727974074376213e+00, 2.266794388476716104e-01, 7.409474881996700457e-01, 1.142857142857142794e+00, 2.217532743852416652e-02
3.006106839328849922e+00, 2.266794388476716104e-01, 7.388391473311957114e-01, 1.142857142857142794e+00, 4.861236019843818978e-02
2.979271268922613736e+00, 2.266794388476716104e-01, 7.363688425938638149e-01, 1.142857142857142794e+00, 8.667019716349225189e-02
2.941139716269010940e+00, 2.266794388476716104e-01, 7.342365664857695151e-01, 1.142857142857142794e+00, 1.406477802401618626e-01
2.888115730564175809e+00, 2.266794388476716104e-01, 7.325499223063232090e-01, 1.142857142857142794e+00, 2.156105921095681499e-01
2.816639939797717318e+00, 2.266794388476716104e-01, 7.290660028108723045e-01, 1.142857142857142794e+00, 3.167313800375860522e-01
2.723921336415747518e+00, 2.266794388476716104e-01, 7.243963267039976728e-01, 1.142857142857142794e+00, 4.479128170830611877e-01
2.609550522595642796e+00, 2.266794388476716104e-01, 7.186410018290014801e-01, 1.142857142857142794e+00, 6.097298653327898332e-01
2.476996553486746855e+00, 2.266794388476716104e-01, 7.103084009227648155e-01, 1.142857142857142794e+00, 7.973767199424517393e-01
2.333956946628245266e+00, 2.266794388476716104e-01, 6.995093005998682667e-01, 1.142857142857142794e+00, 1.000000000000000000e+00
2.190955281844236602e+00, 2.266794388476716104e-01, 6.880457313960985921e-01, 1.142857142857142794e+00, 1.202623280057548483e+00
2.058498665288678087e+00, 2.266794388476716104e-01, 6.778573854675136179e-01, 1.142857142857142794e+00, 1.390270134667210167e+00
1.944189847897963341e+00, 2.266794388476716104e-01, 6.706986520616766700e-01, 1.142857142857142794e+00, 1.552087182916938923e+00
1.851521668706334944e+00, 2.266794388476716104e-01, 6.648848432860070545e-01, 1.142857142857142794e+00, 1.683268619962413837e+00
1.779970905029919059e+00, 2.266794388476716104e-01, 6.640271794410880224e-01, 1.142857142857142794e+00, 1.784389407890431656e+00
1.726923772185251504e+00, 2.266794388476716104e-01, 6.666809250387796260e-01, 1.142857142857142794e+00, 1.859352219759838221e+00
1.688873071491375111e+00, 2.266794388476716104e-01, 6.722080158099639213e-01, 1.142857142857142794e+00, 1.913329802836507776e+00
1.662596345844981505e+00, 2.266794388476716104e-01, 6.807227723414746023e-01, 1.142857142857142794e+00, 1.951387639801561935e+00
1.646123374433527520e+00, 2.266794388476716104e-01, 6.933935822250920644e-01, 1.142857142857142794e+00, 1.977824672561475872e+00
1.638000000000000123e+00, 2.266794388476716104e-01, 7.059358100070124431e-01, 1.142857142857142794e+00, 2.000000000000000000e+00
1.636486113762211314e+00, 2.266794388476716104e-01, 7.211345033593697940e-01, 1.142857142857142794e+00, 2.022175327438524128e+00
1.643326388235723190e+00, 2.266794388476716104e-01, 7.470084716822351645e-01, 1.142857142857142794e+00, 2.048612360198438065e+00
1.660567130672510050e+00, 2.266794388476716104e-01, 7.779139277773968741e-01, 1.142857142857142794e+00, 2.086670197163492446e+00
1.692109074633917132e+00, 2.266794388476716104e-01, 8.092660785207088647e-01, 1.142857142857142794e+00, 2.140647780240161779e+00
1.739986497421284195e+00, 2.266794388476716104e-01, 8.448190536780918469e-01, 1.142857142857142794e+00, 2.215610592109568344e+00
1.809155036756568080e+00, 2.266794388476716104e-01, 8.805255718830374834e-01, 1.142857142857142794e+00, 2.316731380037586163e+00
1.903600011056571173e+00, 2.266794388476716104e-01, 9.085088797779445891e-01, 1.142857142857142794e+00, 2.447912817083061299e+00
2.022541054438089070e+00, 2.266794388476716104e-01, 9.260842306012030400e-01, 1.142857142857142794e+00, 2.609729865332790055e+00
2.161477905124482568e+00, 2.266794388476716104e-01, 9.290125190268299082e-01, 1.142857142857142794e+00, 2.797376719942451295e+00
2.311537121233857128e+00, 2.266794388476716104e-01, 9.199588406642406069e-01, 1.142857142857142794e+00, 3.000000000000000000e+00
2.460896241787909666e+00, 2.266794388476716104e-01, 8.979607570326346710e-01, 1.142857142857142794e+00, 3.202623280057548705e+00
2.598421173438924647e+00, 2.266794388476716104e-01, 8.692282838310665394e-01, 1.142857142857142794e+00, 3.390270134667209945e+00
2.716384957848399839e+00, 2.266794388476716104e-01, 8.395343208969341386e-01, 1.142857142857142794e+00, 3.552087182916938701e+00
2.811729818017376203e+00, 2.266794388476716104e-01, 8.134925213536048361e-01, 1.142857142857142794e+00, 3.683268619962413837e+00
2.885055879235041143e+00, 2.266794388476716104e-01, 7.923449681920282650e-01, 1.142857142857142794e+00, 3.784389407890431656e+00
2.939289685862704005e+00, 2.266794388476716104e-01, 7.759230619697429221e-01, 1.142857142857142794e+00, 3.859352219759838221e+00
2.978209788093733934e+00, 2.266794388476716104e-01, 7.633795972474999303e-01, 1.142857142857142794e+00, 3.913329802836507554e+00
3.005555642133069583e+00, 2.266794388476716104e-01, 7.540295260033784697e-01, 1.142857142857142794e+00, 3.951387639801561935e+00
3.024509532685908386e+00, 2.266794388476716104e-01, 7.473099635423136045e-01, 1.142857142857142794e+00, 3.977824672561475872e+00
3.037520254965780264e+00, 2.266794388476716104e-01, 7.425835376380348629e-01, 1.142857142857142794e+00, 4.000000000000000000e+00
3.037520254965780708e+00, 3.400191582715074157e-01, 7.455514426415411622e-01, 1.214285714285714191e+00, 0.000000000000000000e+00
3.024727974074376213e+00, 3.400191582715074157e-01, 7.439153932031762340e-01, 1.214285714285714191e+00, 2.217532743852416652e-02
3.006106839328849922e+00, 3.400191582715074157e-01, 7.418070523347018996e-01, 1.214285714285714191e+00, 4.861236019843818978e-02
2.979271268922613736e+00, 3.400191582715074157e-01, 7.393367475973700031e-01, 1.214285714285714191e+00, 8.667019716349225189e-02
2.941139716269010940e+00, 3.400191582715074157e-01, 7.372044714892758144e-01, 1.214285714285714191e+00, 1.406477802401618626e-01
2.888115730564176253e+00, 3.400191582715074157e-01, 7.355178273098295083e-01, 1.214285714285714191e+00, 2.156105921095681499e-01
2.816639939797717318e+00, 3.400191582715074157e-01, 7.320339078143784928e-01, 1.214285714285714191e+00, 3.167313800375860522e-01
2.723921336415747518e+00, 3.400191582715074157e-01, 7.273642317075038610e-01, 1.214285714285714191e+00, 4.479128170830611877e-01
2.609550522595642796e+00, 3.400191582715074157e-01, 7.216089068325076683e-01, 1.214285714285714191e+00, 6.097298653327898332e-01
2.476996553486746855e+00, 3.400191582715074157e-01, 7.132763059262710037e-01, 1.214285714285714191e+00, 7.973767199424517393e-01
2.333956946628245266e+00, 3.400191582715074157e-01, 7.024772056033745660e-01, 1.214285714285714191e+00, 1.000000000000000000e+00
2.190955281844236602e+00, 3.400191582715074157e-01, 6.910136363996048914e-01, 1.214285714285714191e+00, 1.202623280057548483e+00
2.058498665288678087e+00, 3.400191582715074157e-01, 6.808252904710198061e-01, 1.214285714285714191e+00, 1.390270134667210167e+00
1.944189847897963341e+00, 3.400191582715074157e-01, 6.736665570651829693e-01, 1.214285714285714191e+00, 1.552087182916938923e+00
1.851521668706334944e+00, 3.400191582715074157e-01, 6.678527482895133538e-01, 1.214285714285714191e+00, 1.683268619962413837e+00
1.779970905029919059e+00, 3.400191582715074157e-01, 6.669950844445942106e-01, 1.214285714285714191e+00, 1.784389407890431656e+00
1.726923772185251504e+00, 3.400191582715074157e-01, 6.696488300422858142e-01, 1.214285714285714191e+00, 1.859352219759838221e+00
1.688873071491375111e+00, 3.400191582715074157e-01, 6.751759208134699985e-01, 1.214285714285714191e+00, 1.913329802836507776e+00
1.662596345844981505e+00, 3.400191582715074157e-01, 6.836906773449809016e-01, 1.214285714285714191e+00, 1.951387639801561935e+00
1.646123374433527520e+00, 3.400191582715074157e-01, 6.963614872285983637e-01, 1.214285714285714191e+00, 1.977824672561475872e+00
1.637999999999999901e+00, 3.400191582715074157e-01, 7.089037150105187424e-01, 1.214285714285714191e+00, 2.000000000000000000e+00
1.636486113762211314e+00, 3.400191582715074157e-01, 7.241024083628759822e-01, 1.214285714285714191e+00, 2.022175327438524128e+00
1.643326388235723412e+00, 3.400191582715074157e-01, 7.499763766857413527e-01, 1.214285714285714191e+00, 2.048612360198438065e+00
1.660567130672510050e+00, 3.400191582715074157e-01, 7.808818327809031734e-01, 1.214285714285714191e+00, 2.086670197163492446e+00
1.692109074633917132e+00, 3.400191582715074157e-01, 8.122339835242151640e-01, 1.214285714285714191e+00, 2.140647780240161779e+00
1.739986497421284195e+00, 3.400191582715074157e-01, 8.477869586815980352e-01, 1.214285714285714191e+00, 2.215610592109568344e+00
1.809155036756567858e+00, 3.400191582715074157e-01, 8.834934768865436716e-01, 1.214285714285714191e+00, 2.316731380037586163e+00
1.903600011056571173e+00, 3.400191582715074157e-01, 9.114767847814507773e-01, 1.214285714285714191e+00, 2.447912817083061299e+00
2.022541054438089070e+00, 3.400191582715074157e-01, 9.290521356047092283e-01, 1.214285714285714191e+00, 2.609729865332790055e+00
2.161477905124482568e+00, 3.400191582715074157e-01, 9.319804240303362075e-01, 1.214285714285714191e+00, 2.797376719942451295e+00
2.311537121233857128e+00, 3.400191582715074157e-01, 9.229267456677467951e-01, 1.214285714285714191e+00, 3.000000000000000000e+00
2.460896241787910110e+00, 3.400191582715074157e-01, 9.009286620361409703e-01, 1.214285714285714191e+00, 3.202623280057548705e+00
2.598421173438924647e+00, 3.400191582715074157e-01, 8.721961888345728386e-01, 1.214285714285714191e+00, 3.390270134667209945e+00
2.716384957848399839e+00, 3.400191582715074157e-01, 8.425022259004403269e-01, 1.214285714285714191e+00, 3.552087182916938701e+00
2.811729818017376203e+00, 3.400191582715074157e-01, 8.164604263571110243e-01, 1.214285714285714191e+00, 3.683268619962413837e+00
2.885055879235040699e+00, 3.400191582715074157e-01, 7.953128731955345643e-01, 1.214285714285714191e+00, 3.784389407890431656e+00
2.939289685862704005e+00, 3.400191582715074157e-01, 7.788909669732492214e-01, 1.214285714285714191e+00, 3.859352219759838221e+00
2.978209788093733934e+00, 3.400191582715074157e-01, 7.663475022510061185e-01, 1.214285714285714191e+00, 3.913329802836507554e+00
3.005555642133069583e+00, 3.400191582715074157e-01, 7.569974310068846579e-01, 1.214285714285714191e+00, 3.951387639801561935e+00
3.024509532685908386e+00, 3.400191582715074157e-01, 7.502778685458199037e-01, 1.214285714285714191e+00, 3.977824672561475872e+00
3.037520254965780708e+00, 3.400191582715074157e-01, 7.455514426415411622e-01, 1.214285714285714191e+00, 4.000000000000000000e+00
3.037520254965779820e+00, 4.533588776953432209e-01, 7.485193476450473504e-01, 1.285714285714285587e+00, 0.000000000000000000e+00
3.024727974074376213e+00, 4.533588776953432209e-01, 7.468832982066824222e-01, 1.285714285714285587e+00, 2.217532743852416652e-02
3.006106839328849922e+00, 4.533588776953432209e-01, 7.447749573382081989e-01, 1.285714285714285587e+00, 4.861236019843818978e-02
2.979271268922613736e+00, 4.533588776953432209e-01, 7.423046526008760804e-01, 1.285714285714285587e+00, 8.667019716349225189e-02
2.941139716269010940e+00, 4.533588776953432209e-01, 7.401723764927821136e-01, 1.285714285714285587e+00, 1.406477802401618626e-01
2.888115730564175365e+00, 4.533588776953432209e-01, 7.384857323133356966e-01, 1.285714285714285587e+00, 2.156105921095681499e-01
2.816639939797717318e+00, 4.533588776953432209e-01, 7.350018128178846810e-01, 1.285714285714285587e+00, 3.167313800375860522e-01
2.723921336415747518e+00, 4.533588776953432209e-01, 7.303321367110100493e-01, 1.285714285714285587e+00, 4.479128170830611877e-01
2.609550522595642796e+00, 4.533588776953432209e-01, 7.245768118360138565e-01, 1.285714285714285587e+00, 6.097298653327898332e-01
2.476996553486746855e+00, 4.533588776953432209e-01, 7.162442109297771919e-01, 1.285714285714285587e+00, 7.973767199424517393e-01
2.333956946628245266e+00, 4.533588776953432209e-01, 7.054451106068807542e-01, 1.285714285714285587e+00, 1.000000000000000000e+00
2.190955281844236602e+00, 4.533588776953432209e-01, 6.939815414031110796e-01, 1.285714285714285587e+00, 1.202623280057548483e+00
2.058498665288678087e+00, 4.533588776953432209e-01, 6.837931954745259944e-01, 1.285714285714285587e+00, 1.390270134667210167e+00
1.944189847897963119e+00, 4.533588776953432209e-01, 6.766344620686891576e-01, 1.285714285714285587e+00, 1.552087182916938923e+00
1.851521668706335166e+00, 4.533588776953432209e-01, 6.708206532930196531e-01, 1.285714285714285587e+00, 1.683268619962413837e+00
1.779970905029919059e+00, 4.533588776953432209e-01, 6.699629894481003989e-01, 1.285714285714285587e+00, 1.784389407890431656e+00
1.726923772185251504e+00, 4.533588776953432209e-01, 6.726167350457920024e-01, 1.285714285714285587e+00, 1.859352219759838221e+00
1.688873071491375111e+00, 4.533588776953432209e-01, 6.781438258169762978e-01, 1.285714285714285587e+00, 1.913329802836507776e+00
1.662596345844981727e+00, 4.533588776953432209e-01, 6.866585823484870899e-01, 1.285714285714285587e+00, 1.951387639801561935e+00
1.646123374433527520e+00, 4.533588776953432209e-01, 6.993293922321045519e-01, 1.285714285714285587e+00, 1.977824672561475872e+00
1.638000000000000123e+00, 4.533588776953432209e-01, 7.118716200140249306e-01, 1.285714285714285587e+00, 2.000000000000000000e+00
1.636486113762211314e+00, 4.533588776953432209e-01, 7.270703133663822815e-01, 1.285714285714285587e+00, 2.022175327438524128e+00
1.643326388235723412e+00, 4.533588776953432209e-01, 7.529442816892474299e-01, 1.285714285714285587e+00, 2.048612360198438065e+00
1.660567130672510050e+00, 4.533588776953432209e-01, 7.838497377844093617e-01, 1.285714285714285587e+00, 2.086670197163492446e+00
1.692109074633917132e+00, 4.533588776953432209e-01, 8.152018885277213522e-01, 1.285714285714285587e+00, 2.140647780240161779e+00
1.739986497421284195e+00, 4.533588776953432209e-01, 8.507548636851043344e-01, 1.285714285714285587e+00, 2.215610592109568344e+00
1.809155036756567858e+00, 4.533588776953432209e-01, 8.864613818900499709e-01, 1.285714285714285587e+00, 2.316731380037586163e+00
1.903600011056571173e+00, 4.533588776953432209e-01, 9.144446897849569655e-01, 1.285714285714285587e+00, 2.447912817083061299e+00
2.022541054438089070e+00, 4.533588776953432209e-01, 9.320200406082155276e-01, 1.285714285714285587e+00, 2.609729865332790055e+00
2.161477905124482568e+00, 4.533588776953432209e-01, 9.349483290338423958e-01, 1.285714285714285587e+00, 2.797376719942451295e+00
2.311537121233857128e+00, 4.533588776953432209e-01, 9.258946506712530944e-01, 1.285714285714285587e+00, 3.000000000000000000e+00
2.460896241787910110e+00, 4.533588776953432209e-01, 9.038965670396470475e-01, 1.285714285714285587e+00, 3.202623280057548705e+00
2.598421173438924647e+00, 4.533588776953432209e-01, 8.751640938380791379e-01, 1.285714285714285587e+00, 3.390270134667209945e+00
2.716384957848399839e+00, 4.533588776953432209e-01, 8.454701309039465151e-01, 1.285714285714285587e+00, 3.552087182916938701e+00
2.811729818017376203e+00, 4.533588776953432209e-01, 8.194283313606172126e-01, 1.285714285714285587e+00, 3.683268619962413837e+00
2.885055879235041587e+00, 4.533588776953432209e-01, 7.982807781990408635e-01, 1.285714285714285587e+00, 3.784389407890431656e+00
2.939289685862704005e+00, 4.533588776953432209e-01, 7.818588719767554096e-01, 1.285714285714285587e+00, 3.859352219759838221e+00
2.978209788093733934e+00, 4.533588776953432209e-01, 7.693154072545121958e-01, 1.285714285714285587e+00, 3.913329802836507554e+00
3.005555642133069583e+00, 4.533588776953432209e-01, 7.599653360103909572e-01, 1.285714285714285587e+00, 3.951387639801561935e+00
3.024509532685908386e+00, 4.533588776953432209e-01, 7.532457735493260920e-01, 1.285714285714285587e+00, 3.977824672561475872e+00
3.037520254965779820e+00, 4.533588776953432209e-01, 7.485193476450473504e-01, 1.285714285714285587e+00, 4.000000000000000000e+00
